town.id,town.name,Grand List Year,Residential Net,Residential Ratio,Residential Equalized,Apartments Net,Apartments Ratio,Apartments Equalized,CIP Net,CIP Ratio,CIP Equalized,Vacant Net,Vacant Ratio,Vacant Equalized,Land Use Net,Land Use Ratio,Land Use Equalized,Ten Mill Net,Ten Mill Ratio,Ten Mill Equalized,Total Real Property,Total Real Property Equalized,Total Personal Property MVPP,Total Personal Property Ratio,Total Personal Property Equalized,Total Net Assessment,engl12
1,Andover,2012,214657190.00,72.49,296119727.00,1670500.00,72.12,2316278.00,6176600.00,72.12,8564337.00,5918100.00,70.39,8407586.00,636120.00,70.00,908743.00,0.00,100.00,0.00,229058510.00,316316672.00,29994045.00,70.00,42848636.00,259052555.00,359165307.00
2,Ansonia,2012,645140562.00,70.00,921629374.00,15706400.00,70.00,22437714.00,95483758.00,70.00,136405369.00,0.00,70.00,0.00,3180.00,70.00,4543.00,99830.00,100.00,99830.00,756433730.00,1080576830.00,137208511.00,70.00,196012159.00,893642241.00,1276588989.00
3,Ashford,2012,224002725.00,73.75,303732508.00,9291200.00,73.70,12606784.00,12664300.00,73.70,17183582.00,10648300.00,73.70,14448168.00,3049330.00,70.00,4356186.00,9700.00,100.00,9700.00,259665555.00,352336929.00,35837739.00,70.00,51196770.00,295503294.00,403533699.00
4,Avon,2012,2116451280.00,74.97,2823064266.00,37355920.00,74.89,49881052.00,281500310.00,76.43,368311278.00,5135400.00,70.00,7336286.00,254600.00,70.00,363714.00,0.00,100.00,0.00,2440697510.00,3248956596.00,248421230.00,70.00,354887471.00,2689118740.00,3603844068.00
5,Barkhamsted,2012,278510750.00,79.27,351344456.00,2132050.00,79.52,2681149.00,17495130.00,79.52,22000918.00,3339860.00,79.52,4200025.00,33648270.00,70.00,48068957.00,0.00,100.00,0.00,335126060.00,428295505.00,39882502.00,70.00,56975003.00,375008562.00,485270508.00
6,Beacon Falls,2012,355799260.00,74.75,475985632.00,732140.00,74.65,980764.00,44982662.00,71.88,62580220.00,13372530.00,74.65,17913637.00,175300.00,70.00,250429.00,0.00,100.00,0.00,415061892.00,557710681.00,58344338.00,70.00,83349054.00,473406230.00,641059735.00
7,Berlin,2012,1370053100.00,70.00,1957218714.00,0.00,70.00,0.00,377144368.00,70.00,538777669.00,26438860.00,70.00,37769800.00,10615240.00,70.00,15164629.00,0.00,100.00,0.00,1784251568.00,2548930811.00,371989083.00,70.00,531412976.00,2156240651.00,3080343787.00
8,Bethany,2012,515874040.00,77.13,668837080.00,0.00,76.43,0.00,32688235.00,76.43,42768854.00,6987720.00,64.01,10916607.00,221490.00,70.00,316414.00,0.00,100.00,0.00,555771485.00,722838955.00,64605278.00,70.00,92293254.00,620376763.00,815132209.00
9,Bethel,2012,1251175390.00,70.00,1787393414.00,20778950.00,70.00,29684214.00,282899280.00,70.00,404141829.00,24304000.00,70.00,34720000.00,4955860.00,70.00,7079800.00,0.00,100.00,0.00,1584113480.00,2263019257.00,268453455.00,70.00,383504936.00,1852566935.00,2646524193.00
10,Bethlehem,2012,331812550.00,77.27,429419632.00,0.00,77.66,0.00,23825110.00,77.66,30678741.00,10590640.00,81.00,13074864.00,1668530.00,70.00,2383614.00,0.00,100.00,0.00,367896830.00,475556852.00,39325339.00,70.00,56179056.00,407222169.00,531735907.00
