Resident Town ID ,District ID,Resident Town ,Sent to District ,School Year,School Type ,PK,K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Total
1,001,Andover,Andover School District,2010-11,,33,42,46,43,49,35,38,48,0,0,0,0,0,0,334
1,241,Andover,Capitol Region Education Council,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,241,Andover,Capitol Region Education Council,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4
1,900,Andover,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,4,4,0,3,11
1,043,Andover,East Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,253,Andover,Eastern Connecticut Regional Educational Service Center,2010-11,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,064,Andover,Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4
1,071,Andover,Lebanon School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,2,2,1,1,6
1,263,Andover,Odyssey Community School District,2010-11,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,208,Andover,Regional School District 08,2010-11,,0,0,0,0,0,0,0,0,52,46,48,39,62,46,293
1,152,Andover,Waterford School District,2010-11,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,002,Ansonia,Ansonia School District,2010-11,,94,204,213,201,193,215,203,200,179,182,205,206,172,148,2615
2,244,Ansonia,Area Cooperative Educational Services,2010-11,,0,1,1,2,1,0,2,2,3,1,3,1,1,5,23
2,244,Ansonia,Area Cooperative Educational Services,2010-11, Magnet School,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,268,Ansonia,Common Ground High School District,2010-11,,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4
2,900,Ansonia,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,46,34,34,25,139
2,243,Ansonia,Cooperative Educational Services,2010-11,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,243,Ansonia,Cooperative Educational Services,2010-11, Magnet School,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4
2,083,Ansonia,Middletown School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,093,Ansonia,New Haven School District,2010-11, Magnet School,1,4,12,8,16,13,18,26,19,18,28,14,16,13,206
2,103,Ansonia,Norwalk School District,2010-11,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,214,Ansonia,Regional School District 14,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4
3,003,Ashford,Ashford School District,2010-11,,47,48,35,54,33,48,52,52,51,56,0,0,0,0,476
3,241,Ashford,Capitol Region Education Council,2010-11,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
3,241,Ashford,Capitol Region Education Council,2010-11, Magnet School,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
3,900,Ashford,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,5,4,3,4,16
3,043,Ashford,East Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,253,Ashford,Eastern Connecticut Regional Educational Service Center,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,253,Ashford,Eastern Connecticut Regional Educational Service Center,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,1,2,2,0,5
3,219,Ashford,Regional School District 19,2010-11,,0,0,0,0,0,0,0,0,0,0,47,57,62,52,218
3,219,Ashford,Regional School District 19,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,6,2,3,2,13
3,163,Ashford,Windham School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,244,Avon,Area Cooperative Educational Services,2010-11,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,004,Avon,Avon School District,2010-11,,39,185,232,256,260,276,301,283,277,288,277,263,280,254,3471
4,004,Avon,Avon School District,2010-11, Other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,011,Avon,Bloomfield School District,2010-11, Magnet School,13,8,0,0,0,0,0,0,0,0,0,0,0,0,21
4,023,Avon,Canton School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4,241,Avon,Capitol Region Education Council,2010-11,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,241,Avon,Capitol Region Education Council,2010-11, Magnet School,16,10,10,6,1,2,1,0,0,0,0,0,2,0,48
4,287,Avon,Charter School for Young Children on Asylum Hill,2010-11,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
4,900,Avon,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,2,2,1,1,6
4,043,Avon,East Hartford School District,2010-11,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,043,Avon,East Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,064,Avon,Hartford School District,2010-11, Magnet School,0,3,0,0,0,0,0,0,1,1,0,1,0,0,6
4,155,Avon,West Hartford School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,005,Barkhamsted,Barkhamsted School District,2010-11,,18,49,43,58,35,52,51,55,0,0,0,0,0,0,361
5,241,Barkhamsted,Capitol Region Education Council,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,900,Barkhamsted,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,5,3,5,3,16
