,,,,,,,,,,,,,,,,,,,,,,
resident.town.id,resident.town,,private.school.location,year,,private.school.total,PK,K,G1,G2,G3,,G4,G5,G6,G7,G8,G9,G10,G11,G12,
1,Andover,,Cheshire,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
1,Andover,,Danbury,2010-11,,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,
1,Andover,,Farmington,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,
1,Andover,,Manchester,2010-11,,11,2,2,1,0,0,,0,0,0,1,1,2,0,1,1,
1,Andover,,Mansfield,2010-11,,4,0,0,0,1,1,,0,2,0,0,0,0,0,0,0,
1,Andover,,Simsbury,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
1,Andover,,Willimantic,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
2,Ansonia,,Ansonia,2010-11,,173,16,20,14,17,16,,23,13,21,16,17,0,0,0,0,
2,Ansonia,,Bethlehem,2010-11,,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,
2,Ansonia,,Bridgeport,2010-11,,7,0,2,0,3,0,,0,0,0,1,0,1,0,0,0,
2,Ansonia,,Cheshire,2010-11,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,
2,Ansonia,,Deep River,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
2,Ansonia,,Derby,2010-11,,15,0,1,2,3,3,,2,1,2,0,1,0,0,0,0,
2,Ansonia,,Fairfield,2010-11,,22,0,1,0,0,0,,0,0,1,0,2,3,2,4,9,
2,Ansonia,,Hamden,2010-11,,10,0,0,0,0,0,,0,0,1,0,0,2,2,2,3,
2,Ansonia,,Milford,2010-11,,6,0,1,0,0,1,,0,1,0,0,1,1,0,0,1,
2,Ansonia,,New Haven,2010-11,,5,0,0,0,0,1,,0,0,1,1,1,0,0,0,1,
2,Ansonia,,Orange,2010-11,,2,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2,Ansonia,,Shelton,2010-11,,20,1,1,2,3,3,,3,2,0,3,2,0,0,0,0,
2,Ansonia,,Stratford,2010-11,,2,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,
2,Ansonia,,Trumball,2010-11,,14,2,0,0,0,0,,0,0,0,0,0,4,2,3,3,
2,Ansonia,,Trumbull,2010-11,,6,0,1,0,0,0,,2,0,0,1,0,0,1,1,0,
2,Ansonia,,Wallingford,2010-11,,4,0,1,0,0,1,,0,1,0,0,0,0,1,0,0,
2,Ansonia,,Waterbury,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,
2,Ansonia,,West Hartford,2010-11,,4,0,0,0,0,0,,0,0,0,0,0,0,1,1,2,
2,Ansonia,,West Haven,2010-11,,11,1,1,0,1,0,,0,0,0,0,0,2,2,3,1,
3,Ashford,,Brooklyn,2010-11,,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,
3,Ashford,,Danielson,2010-11,,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,
3,Ashford,,Manchester,2010-11,,4,0,0,0,0,2,,0,0,0,0,0,1,0,0,1,
3,Ashford,,Mansfield,2010-11,,2,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,
3,Ashford,,Middletown,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,
3,Ashford,,Pomfret,2010-11,,3,0,0,0,0,1,,0,0,1,0,1,0,0,0,0,
3,Ashford,,Stafford Springs,2010-11,,3,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,
3,Ashford,,Watertown,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,
3,Ashford,,Willimantic,2010-11,,3,0,0,0,1,0,,0,0,0,0,0,0,1,1,0,
4,Avon,,Avon,2010-11,,81,19,4,3,5,3,,2,2,1,0,1,15,6,8,12,
4,Avon,,Bloomfield,2010-11,,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,
4,Avon,,Bristol,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,
4,Avon,,Brooklyn,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
4,Avon,,Farmington,2010-11,,23,0,0,0,0,0,,0,0,0,0,0,7,6,3,7,
4,Avon,,Forestville,2010-11,,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,
4,Avon,,Hartford,2010-11,,10,0,0,0,0,0,,0,0,0,1,2,2,2,2,1,
4,Avon,,Kent,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,
4,Avon,,Lakeville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
4,Avon,,Litchfield,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
4,Avon,,New Britain,2010-11,,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,
4,Avon,,New Hartford,2010-11,,2,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,
4,Avon,,Orange,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
4,Avon,,Plainville,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,
4,Avon,,Simsbury,2010-11,,80,9,9,7,3,4,,8,4,4,1,5,1,13,2,10,
4,Avon,,Suffield,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,
4,Avon,,Wallingford,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,
4,Avon,,Washington,2010-11,,5,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,
4,Avon,,West Hartford,2010-11,,132,14,7,2,3,5,,6,7,10,7,8,16,17,18,12,
4,Avon,,West Simsbury,2010-11,,15,1,0,0,1,3,,1,1,1,1,0,1,1,2,2,
4,Avon,,Windsor,2010-11,,21,0,0,0,0,0,,0,0,0,0,0,4,6,9,2,
4,Avon,,Winsted,2010-11,,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,
5,Barkhamsted,,Avon,2010-11,,4,0,1,0,1,1,,0,0,0,0,0,0,0,0,1,
5,Barkhamsted,,Bristol,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
5,Barkhamsted,,Farmington,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,
5,Barkhamsted,,Kent,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
5,Barkhamsted,,New Preston,2010-11,,2,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,
5,Barkhamsted,,Newington,2010-11,,2,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,
5,Barkhamsted,,Plainville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
