town.name,households,mhi12,mfi12,pci12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover,1135,97762,99651,37086,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansonia,7380,54720,67500,26348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashford,1650,75242,97031,39095,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon,7115,111768,145096,61754,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barkhamsted,1424,84861,100660,37210,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Falls,2244,79207,91337,33050,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,7619,85735,102113,38426,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany,1915,109564,118710,45221,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethel,6838,88024,103992,38390,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,1409,80884,93657,38338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomfield,8505,71579,84000,40761,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,1996,87885,105244,43525,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozrah,1015,83188,92833,34209,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branford,12401,70075,89742,42340,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport,50824,39822,46573,19743,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater,746,83750,111518,58181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,25231,58814,74185,30555,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookfield,5833,111096,127951,49320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,2758,62857,77861,25997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,3496,106756,117708,43245,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaan,613,58021,86172,37205,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,2122,66641,87344,31443,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,4006,86136,106338,43650,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaplin,884,75333,83690,33121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,9528,110587,124241,42761,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester,1697,79345,92619,41371,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,5443,68225,85195,37941,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colchester,5923,92522,103081,36455,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colebrook,591,71691,82917,40399,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,2083,92973,104968,40357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornwall,599,78021,101111,49767,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coventry,4653,92308,95540,37212,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromwell,5544,80134,105896,43611,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury,29344,66281,74932,30815,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darien,6627,200724,"250,000+",94301,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep River,1881,77625,95732,40988,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby,5195,54561,63967,26797,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,2589,109969,121667,45732,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Granby,2129,73074,98375,42999,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Haddam,3580,91146,94909,39821,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hampton,4933,93083,109293,40502,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hartford,20339,48438,59784,25549,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Haven,11355,63574,70152,30618,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lyme,6959,81599,102026,37972,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Windsor,4534,71310,77465,33078,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastford,644,82885,101188,39041,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,2527,142434,154741,62493,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellington,6094,84934,101033,40231,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,16400,68356,80997,29866,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex,2876,90242,109152,58309,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,20227,119924,147045,60556,,,,,,,,,,,,,,,,,,,,,,,,,,,
