town.id,town.name,ecs.wealth13,ecs.wealth.rank13
1,ANDOVER         ,150785.26,122
2,ANSONIA         ,86041.1,159
3,ASHFORD         ,118429.19,142
4,AVON            ,342398.64,32
5,BARKHAMSTED     ,186014,99
6,BEACON FALLS    ,143078.56,128
7,BERLIN          ,240642.61,61
8,BETHANY         ,273572.88,49
9,BETHEL          ,228903.82,72
10,BETHLEHEM       ,290437.21,44
11,BLOOMFIELD      ,257551.23,54
12,BOLTON          ,201912.8,85
13,BOZRAH          ,200802.31,87
14,BRANFORD        ,335569.02,35
15,BRIDGEPORT      ,51177.52,164
16,BRIDGEWATER     ,758463.16,12
17,BRISTOL         ,111894.48,147
18,BROOKFIELD      ,336529.41,34
19,BROOKLYN        ,97063.63,154
20,BURLINGTON      ,219910.91,74
21,CANAAN          ,321299.04,39
22,CANTERBURY      ,136453.29,132
23,CANTON          ,236145.59,65
24,CHAPLIN         ,125529.05,139
25,CHESHIRE        ,233215.4,66
26,CHESTER         ,308038.22,41
27,CLINTON         ,237882.61,64
28,COLCHESTER      ,137405.91,130
29,COLEBROOK       ,241720.88,60
30,COLUMBIA        ,207497.45,80
31,CORNWALL        ,932422.17,7
32,COVENTRY        ,159100.97,116
33,CROMWELL        ,210790.27,78
34,DANBURY         ,159418.03,114
35,DARIEN          ,1294373.87,4
36,DEEP RIVER      ,231788.06,69
37,DERBY           ,113974.49,145
38,DURHAM          ,214315.93,77
39,EASTFORD        ,184138.11,100
40,EAST GRANBY     ,232117.41,67
41,EAST HADDAM     ,231674.65,70
42,EAST HAMPTON    ,192452.11,91
43,EAST HARTFORD   ,74193.12,162
44,EAST HAVEN      ,133431.1,134
45,EAST LYME       ,239652.52,63
46,EASTON          ,544609.39,18
47,EAST WINDSOR    ,189763.76,94
48,ELLINGTON       ,151294.21,121
49,ENFIELD         ,131984.33,136
50,ESSEX           ,476940.52,23
51,FAIRFIELD       ,483239.86,22
52,FARMINGTON      ,328402.23,38
53,FRANKLIN        ,202038.99,84
54,GLASTONBURY     ,250357.12,56
55,GOSHEN          ,446750.32,26
56,GRANBY          ,183891.71,101
57,GREENWICH       ,2259882.49,1
58,GRISWOLD        ,106276.75,149
59,GROTON          ,186969.84,98
60,GUILFORD        ,337824.81,33
61,HADDAM          ,224495.42,73
62,HAMDEN          ,168408.63,109
63,HAMPTON         ,207870.23,79
64,HARTFORD        ,30067.46,169
65,HARTLAND        ,190695.68,93
66,HARWINTON       ,197116,90
67,HEBRON          ,157757.19,119
68,KENT            ,569960.01,15
69,KILLINGLY       ,95384.9,155
70,KILLINGWORTH    ,268436.28,51
71,LEBANON         ,157986.75,117
72,LEDYARD         ,147288.64,124
73,LISBON          ,161931.05,113
74,LITCHFIELD      ,309777.6,40
75,LYME            ,930610.24,8
76,MADISON         ,384770.17,29
77,MANCHESTER      ,136712.61,131
78,MANSFIELD       ,102780.89,150
79,MARLBOROUGH     ,191648.9,92
80,MERIDEN         ,82764.79,160
81,MIDDLEBURY      ,286066.04,45
82,MIDDLEFIELD     ,204652.15,81
83,MIDDLETOWN      ,157798.56,118
84,MILFORD         ,216519.21,75
85,MONROE          ,272830.78,50
86,MONTVILLE       ,132246.09,135
87,MORRIS          ,334573.27,36
88,NAUGATUCK       ,90354.2,156
89,NEW BRITAIN     ,40661.99,168
90,NEW CANAAN      ,1486066.75,2
91,NEW FAIRFIELD   ,242597.22,59
92,NEW HARTFORD    ,199923.04,88
93,NEW HAVEN       ,45024.86,165
94,NEWINGTON       ,169626.32,108
95,NEW LONDON      ,69952.03,163
96,NEW MILFORD     ,231501.61,71
97,NEWTOWN         ,276525.34,48
98,NORFOLK         ,446632.69,27
99,NORTH BRANFORD  ,189083.22,95
100,NORTH CANAAN    ,146877.39,125
101,NORTH HAVEN     ,263309.11,53
102,NORTH STONINGTON,239912.89,62
103,NORWALK         ,351919.33,31
104,NORWICH         ,86080.43,158
105,OLD LYME        ,525261.79,19
106,OLD SAYBROOK    ,508208.24,21
107,ORANGE          ,267351.37,52
108,OXFORD          ,245440.02,58
109,PLAINFIELD      ,88001.77,157
110,PLAINVILLE      ,145473.68,127
111,PLYMOUTH        ,114681.18,144
112,POMFRET         ,130597.44,138
113,PORTLAND        ,188899.86,96
114,PRESTON         ,187088.45,97
115,PROSPECT        ,180645.75,104
116,PUTNAM          ,99614.88,152
117,REDDING         ,555124.98,16
118,RIDGEFIELD      ,549968.01,17
119,ROCKY HILL      ,231959.37,68
120,ROXBURY         ,1135698.99,5
121,SALEM           ,203684.34,82
122,SALISBURY       ,914363.68,9
123,SCOTLAND        ,145626.26,126
124,SEYMOUR         ,153971.84,120
125,SHARON          ,904116.97,11
126,SHELTON         ,285301.3,46
127,SHERMAN         ,521632.48,20
128,SIMSBURY        ,247671.03,57
129,SOMERS          ,162715.94,112
130,SOUTHBURY       ,252929.83,55
131,SOUTHINGTON     ,181876.81,103
132,SOUTH WINDSOR   ,202900.3,83
133,SPRAGUE         ,121217.76,141
134,STAFFORD        ,109595.28,148
135,STAMFORD        ,473624.82,24
136,STERLING        ,101949.78,151
137,STONINGTON      ,356306.21,30
138,STRATFORD       ,166251.42,110
139,SUFFIELD        ,201269.9,86
140,THOMASTON       ,122255.2,140
141,THOMPSON        ,115394.91,143
142,TOLLAND         ,170329.33,107
143,TORRINGTON      ,97747.3,153
144,TRUMBULL        ,278104.87,47
145,UNION           ,292040.04,43
146,VERNON          ,113186.73,146
147,VOLUNTOWN       ,135617.49,133
148,WALLINGFORD     ,199519.29,89
149,WARREN          ,721331.38,14
150,WASHINGTON      ,960587.78,6
151,WATERBURY       ,44359.42,166
152,WATERFORD       ,329820,37
153,WATERTOWN       ,177907.8,105
154,WESTBROOK       ,403979.5,28
155,WEST HARTFORD   ,163666.29,111
156,WEST HAVEN      ,80580.65,161
157,WESTON          ,912656.45,10
158,WESTPORT        ,1323516.2,3
159,WETHERSFIELD    ,177062.8,106
160,WILLINGTON      ,148019.38,123
161,WILTON          ,733616.69,13
162,WINCHESTER      ,131344.01,137
163,WINDHAM         ,43980.42,167
164,WINDSOR         ,215732.74,76
165,WINDSOR LOCKS   ,182433.92,102
166,WOLCOTT         ,141430.6,129
167,WOODBRIDGE      ,468280.61,25
168,WOODBURY        ,304610.86,42
169,WOODSTOCK       ,159417.73,115
,,,
,Total,48807184.4,
